"Time","GateState","Distance","Velocity","Acceleration"
0.389680,1,0.000,,
0.423989,0,,,
1.342468,1,0.050,0.052,0.00
1.376814,0,,,
2.302025,1,0.100,0.052,0.00
2.336412,0,,,
3.254781,1,0.150,0.052,0.00
3.289214,0,,,
4.214374,1,0.200,0.052,0.00
4.248864,0,,,
5.167120,1,0.250,0.052,0.00
5.201644,0,,,
6.126732,1,0.300,0.052,0.00
6.161312,0,,,
7.079463,1,0.350,0.052,0.00
7.114050,0,,,
8.039114,1,0.400,0.052,0.00
8.073754,0,,,
8.991813,1,0.450,0.052,0.00
9.026435,0,,,
9.951507,1,0.500,0.052,0.00
9.986159,0,,,
10.904162,1,0.550,0.052,0.00
10.938780,0,,,
11.863916,1,0.600,0.052,0.00
11.898545,0,,,
12.816574,1,0.650,0.052,0.00
12.851174,0,,,
13.776295,1,0.700,0.052,0.00
13.810897,0,,,
14.728995,1,0.750,0.052,0.00
14.763596,0,,,
15.688655,1,0.800,0.052,0.00
15.723253,0,,,
16.641375,1,0.850,0.052,0.00
16.675989,0,,,
17.600996,1,0.900,,
17.635624,0,,,
